"","Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","CoffeeSample__c","Acidity__c","AfterTaste__c","Balance__c","Body__c","Complete__c","Flavor__c","FraganceAroma__c","IsContest__c","Lab__c","NumDefectCups__c","OrganolepticDefects__c","Qualities__c","RoastLevelOfSample__c","Session__c","Taster__c","TotalScore__c","Uniformity__c","Notes__c","LastViewedDate","LastReferencedDate"
"1","a1F360000015PCoEAM","false","CQTA-00000","2016-06-27T22:36:22.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","a1G36000000mQixEAE","7.75","7.5","7","7.75","false","7.5","8","false","a1H36000001M3OGEA0","2.0","Agrio;Fermento","DURAZNO;FLOR DE NARANJA","3","Perfilacion 2912-1","a1J36000002LLsOEAW","70.5","6",NA,NA,NA
"2","a1F360000015PCpEAM","false","CQTA-00001","2016-06-27T22:36:22.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","a1G36000000mQixEAE","8","7.75","7","7","false","7.75","8","false","a1H36000001M3OGEA0","2.0","Vinagre","DURAZNO;NARANJA","3","Perfilacion 2912-1","a1J36000002LLpqEAG","66.5","6",NA,NA,NA
"3","a1F360000015PCqEAM","false","CQTA-00002","2016-06-27T22:36:22.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","a1G36000000mQiyEAE","7","7","7","7","false","7","7.75","false","a1H36000001M3OGEA0","1.0","Agrio","NARANJA;CHOCOLATE AMARGO;UVA ROJA","4","Perfilacion 2912-1","a1J36000002LLsOEAW","73.75","8",NA,NA,NA
"4","a1F360000015PCrEAM","false","CQTA-00003","2016-06-27T22:36:22.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","a1G36000000mQiyEAE","7","7","7","7","false","7","8","false","a1H36000001M3OGEA0","2.0","Agrio;Vinagre","ARANDANO;UVA","3","Perfilacion 2912-1","a1J36000002LLpqEAG","64.0","6",NA,NA,NA
"5","a1F360000015PCsEAM","false","CQTA-00004","2016-06-27T22:36:22.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","a1G36000000mQizEAE","7","6","7","7","false","6","7.75","false","a1H36000001M3OGEA0","5.0","Vinagre","Vainilla;FRUTOS ROJOS;NUECES","3","Perfilacion 2210-1","a1J36000002LLpqEAG","27.75","0",NA,NA,NA
"6","a1F360000015PCtEAM","false","CQTA-00005","2016-06-27T22:36:22.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","a1G36000000mQj0EAE","7.75","7.75","7.75","7.5","false","8","7.5","false","a1H36000001M3OGEA0","0.0",NA,"Caramelo;Mora","3","Perfilacion 2310-1","a1J36000002LLpqEAG","84.0","10",NA,NA,NA
"7","a1F360000015PCuEAM","false","CQTA-00006","2016-06-27T22:36:22.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","a1G36000000mQj0EAE","7.25","7.25","7.5","7.75","false","7.75","7.75","false","a1H36000001M3OGEA0","0.0",NA,"Mora","3","Perfilacion 2310-1","a1J36000002LLsOEAW","83.0","10",NA,NA,NA
"8","a1F360000015PCvEAM","false","CQTA-00007","2016-06-27T22:36:22.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","a1G36000000mQj1EAE","7.75","7.5","7.5","7.5","false","7.75","7.75","false","a1H36000001M3OGEA0","0.0",NA,"Chocolate;Mandarina;PANELA","3","Perfilacion 2912-1","a1J36000002LLsOEAW","83.5","10",NA,NA,NA
"9","a1F360000015PCwEAM","false","CQTA-00008","2016-06-27T22:36:22.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","a1G36000000mQj1EAE","8","7.5","7.75","7.5","false","7.75","7.75","false","a1H36000001M3OGEA0","0.0",NA,"Ciruela;PANELA","3","Perfilacion 2912-1","a1J36000002LLpqEAG","84.0","10",NA,NA,NA
"10","a1F360000015PCxEAM","false","CQTA-00009","2016-06-27T22:36:22.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","00536000000dUliAAE","2016-11-01T20:41:10.000Z","a1G36000000mQj2EAE","7.75","7.75","7.75","7.75","false","7.75","7.75","false","a1H36000001M3OGEA0","0.0",NA,"Mantequilla;PANELA;MANZANA VERDE","3","Perfilacion 2912-1","a1J36000002LLsOEAW","84.25","10",NA,NA,NA
